cpu_time,cpu_usage,h:m:s,io_in,io_out,jobid,max_pss,max_rss,max_uss,max_vms,mean_load,rule_name,s,threads,genome,library,maxlength,nrows,operation,status
8.969999999999999,576.6443422079086,0:00:06,0.0,0.04296875,0,789.6337890625,801.265625,784.875,2826.73046875,87.120551491275,binary_r,6.6189,1,hg38,genomicranges,10,10_000,nearest,ok
9.41,629.3893297433854,0:00:07,0.0,0.04296875,0,835.9921875,846.8828125,831.390625,2872.8984375,87.17784458379381,binary_r,7.2196,1,hg38,genomicranges,10,100_000,nearest,ok
16.34,1315.1227422237396,0:00:13,0.0,0.04296875,0,1234.443359375,1245.80859375,1229.84765625,3271.73046875,95.7943211691412,binary_r,13.7286,1,hg38,genomicranges,10,1_000_000,nearest,ok
78.7,7555.491151070595,0:01:20,0.0,0.04296875,0,2678.15625,2691.16796875,2674.3984375,4779.96484375,93.7977628613118,binary_r,80.5509,1,hg38,genomicranges,10,10_000_000,nearest,ok
9.41,631.1801882743836,0:00:06,0.0,0.04296875,0,876.9921875,888.4140625,872.2578125,2914.36328125,92.54545209969255,binary_r,6.8202,1,hg38,genomicranges,100,10_000,nearest,ok
9.96,682.1602852106093,0:00:07,0.0,0.04296875,0,870.791015625,881.8515625,866.23828125,2907.48828125,91.93868567019548,binary_r,7.4197,1,hg38,genomicranges,100,100_000,nearest,ok
16.95,1379.9258966684342,0:00:14,0.0,0.04296875,0,1234.3330078125,1245.88671875,1229.86328125,3275.20703125,97.66115876808108,binary_r,14.1297,1,hg38,genomicranges,100,1_000_000,nearest,ok
48.470000000000006,4532.02985060215,0:01:14,0.0,0.04296875,0,2641.9853515625,2654.09375,2637.3984375,4685.15625,61.217495047125325,binary_r,74.0316,1,hg38,genomicranges,100,10_000_000,nearest,ok
8.96,577.1930910348893,0:00:06,0.0,0.04296875,0,781.2734375,792.92578125,776.515625,2818.9921875,85.90938804317764,binary_r,6.7186,1,hg38,genomicranges,1000,10_000,nearest,ok
10.01,683.1089536428451,0:00:07,0.0,0.046875,0,869.4287109375,880.640625,864.86328125,2906.19140625,93.3252277035707,binary_r,7.3197,1,hg38,genomicranges,1000,100_000,nearest,ok
16.9,1367.1601199626923,0:00:14,45.46875,0.04296875,0,1142.95703125,1154.1015625,1138.3984375,3181.08203125,94.73930350050598,binary_r,14.4308,1,hg38,genomicranges,1000,1_000_000,nearest,ok
78.69,7553.918540167808,0:01:22,0.0,0.04296875,0,2792.40234375,2800.85546875,2788.578125,4900.13671875,91.17626490318708,binary_r,82.8496,1,hg38,genomicranges,1000,10_000_000,nearest,ok
8.94,576.0583176851272,0:00:06,0.0,0.04296875,0,784.83984375,796.24609375,780.08203125,2822.47265625,85.7399377320406,binary_r,6.7187,1,proteome,genomicranges,10,10_000,nearest,ok
9.89,680.0734755277634,0:00:07,0.0,0.04296875,0,863.8662109375,875.3359375,859.3671875,2901.0703125,90.4359393523542,binary_r,7.5199,1,proteome,genomicranges,10,100_000,nearest,ok
17.32,1425.2083260059358,0:00:14,0.0,0.046875,0,1174.4609375,1185.65625,1169.89453125,3210.63671875,98.07761024860486,binary_r,14.5314,1,proteome,genomicranges,10,1_000_000,nearest,ok
78.77,7566.465480017661,0:01:20,0.0,0.04296875,0,2684.5595703125,2692.63671875,2680.73046875,4717.8671875,93.93450374117856,binary_r,80.5504,1,proteome,genomicranges,10,10_000_000,nearest,ok
9.53,626.1895729303361,0:00:07,0.0,0.04296875,0,785.4609375,796.9609375,780.7109375,2823.125,86.7329907213846,binary_r,7.2197,1,proteome,genomicranges,100,10_000,nearest,ok
